# MJD 5_sigma_depth filter
60932.29328 24.614 g
60933.19317 23.952 r
60934.15788 24.614 g
60934.35306 24.614 g
60935.19084 23.952 r
60935.23998 23.952 r
60936.21755 23.484 i
60936.28519 23.952 r
60937.11731 24.614 g
60937.17500 23.952 r
60937.24199 22.951 u
60937.37006 23.952 r
60938.16096 23.484 i
60938.24463 24.614 g
60938.31829 23.952 r
60939.16957 23.952 r
60939.25273 23.757 r
60940.25641 24.368 g
60942.08690 23.866 r
60943.22168 23.866 r
60943.26586 23.866 r
60944.18602 24.368 g
60944.26457 24.047 r
60945.15843 24.047 r
60945.24120 24.047 r
60946.16853 23.484 i
60947.12061 24.047 r
60947.17926 23.484 i
60947.26049 24.047 r
60950.09112 24.047 r
60951.18104 21.544 y
60952.14777 22.612 z
60954.22672 24.368 g
60955.14612 24.368 g
60955.20910 24.047 r
60956.17302 21.871 y
60957.15328 23.484 i
60958.16087 23.484 i
60958.22472 24.047 r
60958.28311 24.047 r
60959.12034 24.047 r
60959.19271 23.484 i
60960.20316 24.368 g
60961.19328 24.047 r
60961.25978 23.551 i
60962.18499 24.047 r
60963.28986 24.368 g
60965.16742 22.881 u
60965.28883 24.368 g
60966.07240 23.551 i
60966.13846 23.551 i
60967.08508 24.047 r
60968.19159 24.047 r
60968.23563 24.047 r
60969.01394 24.368 g
60971.14493 24.368 g
60971.23718 24.368 g
60972.10345 24.047 r
60972.17753 24.368 g
60972.23073 23.551 i
60973.12282 24.047 r
60973.16883 24.368 g
60973.23002 24.047 r
60974.08638 24.047 r
60974.13084 23.551 i
60974.17387 23.405 i
60976.13066 23.405 i
60977.10583 24.047 r
60977.25457 24.047 r
60979.02983 24.368 g
60979.13744 23.405 i
60980.09987 24.047 r
60981.14711 24.047 r
60982.11625 24.368 g
60982.16326 23.405 i
60984.09287 22.481 z
60985.05237 24.368 g
60985.09490 24.047 r
60986.11897 24.047 r
60987.05344 23.405 i
60987.10366 24.368 g
60988.10574 24.047 r
60988.26681 24.047 r
60989.17126 24.047 r
60991.17950 24.047 r
60991.24926 23.405 i
60993.14565 24.047 r
60995.07016 24.368 g
60996.13623 23.405 i
60996.19273 24.047 r
60997.10554 24.368 g
60998.27242 24.047 r
60999.19828 24.047 r
61000.06839 24.047 r
61001.13259 24.368 g
61001.18884 23.405 i
61002.08897 23.405 i
61009.06384 24.047 r
61010.06366 24.047 r
61010.13199 24.047 r
61011.06959 24.368 g
61012.09465 24.047 r
61012.17593 24.368 g
61020.14855 23.405 i
61025.09373 24.368 g
61026.13532 24.368 g
61029.10668 23.405 i
61030.12876 24.368 g
61031.06656 23.405 i
61036.14054 23.405 i
61037.14132 24.047 r
61038.03811 23.405 i
61039.04330 24.047 r
61042.14084 23.405 i
61182.40126 24.585 g
61189.37402 24.148 r
61196.35062 24.148 r
61196.40389 22.712 i
61197.36870 24.148 r
61197.42029 24.148 r
61198.40737 22.712 i
61200.44222 24.148 r
61210.40539 24.148 r
61211.43029 24.148 r
61218.28410 24.148 r
61218.44191 24.148 r
